City,State,Zip3,County
DAYTONA BEACH,FL,321,Volusia County
TALLAHASSEE,FL,323,Leon County
PANAMA CITY,FL,324,Bay County
PENSACOLA,FL,325,Escambia County
GAINESVILLE,FL,326,Alachua County
MID FLORIDA,FL,327,Seminole County
ORLANDO,FL,328,Orange County
PEMBROKE PINES,FL,330,Broward County
MIAMI,FL,331,Miami-Dade County
FORT LAUDERDALE,FL,333,Broward County
WEST PALM BEACH,FL,334,Palm Beach County
TAMPA,FL,336,Hillsborough County
SAINT PETERSBURG,FL,337,Pinellas County
LAKELAND,FL,338,Polk County
FORT MYERS,FL,339,Lee County
SARASOTA,FL,342,Sarasota County
BIRMINGHAM,AL,352,Jefferson County
TUSCALOOSA,AL,354,Tuscaloosa County
HUNTSVILLE,AL,358,Madison County
MONTGOMERY,AL,361,Montgomery County
ANNISTON,AL,362,Calhoun County
DOTHAN,AL,363,Houston County
EVERGREEN,AL,364,Conecuh County
MOBILE,AL,366,Mobile County
NASHVILLE,TN,372,Davidson County
CHATTANOOGA,TN,374,Hamilton County
JOHNSON CITY,TN,376,Sullivan County
KNOXVILLE,TN,379,Knox County
MEMPHIS,TN,381,Shelby County
MC KENZIE,TN,382,Carroll County
JACKSON,TN,383,Madison County
COLUMBIA,TN,384,Maury County
COOKEVILLE,TN,385,Putnam County
GREENVILLE,MS,387,Washington County
TUPELO,MS,388,Lee County
GRENADA,MS,389,Grenada County
JACKSON,MS,392,Hinds County
MERIDIAN,MS,393,Lauderdale County
HATTIESBURG,MS,394,Forrest County
GULFPORT,MS,395,Harrison County
MCCOMB,MS,396,Pike County
COLUMBUS,MS,397,Lowndes County
LOUISVILLE,KY,402,Jefferson County
LEXINGTON,KY,405,Fayette County
LONDON,KY,407,Laurel County
ASHLAND,KY,411,Boyd County
SPUR CAMPTON,KY,413,Wolfe County
PIKEVILLE,KY,415,Pike County
HAZARD,KY,417,Perry County
PADUCAH,KY,420,McCracken County
BOWLING GREEN,KY,421,Warren County
OWENSBORO,KY,423,Daviess County
SOMERSET,KY,425,Pulaski County
ELIZABETHTOWN,KY,427,Hardin County
COLUMBUS,OH,432,Franklin County
TOLEDO,OH,436,Lucas County
ZANESVILLE,OH,437,Muskingum County
STEUBENVILLE,OH,439,Jefferson County
CLEVELAND,OH,441,Cuyahoga County
AKRON,OH,443,Summit County
YOUNGSTOWN,OH,445,Mahoning County
CANTON,OH,447,Stark County
MANSFIELD,OH,449,Richland County
CINCINNATI,OH,452,Hamilton County
DAYTON,OH,454,Montgomery County
CHILLICOTHE,OH,456,Ross County
ATHENS,OH,457,Athens County
LIMA,OH,458,Allen County
INDIANAPOLIS,IN,462,Marion County
GARY,IN,464,Lake County
SOUTH BEND,IN,466,St. Joseph County
FORT WAYNE,IN,468,Allen County
KOKOMO,IN,469,Howard County
COLUMBUS,IN,472,Bartholomew County
MUNCIE,IN,473,Delaware County
BLOOMINGTON,IN,474,Monroe County
EVANSVILLE,IN,477,Vanderburgh County
TERRE HAUTE,IN,478,Vigo County
LAFAYETTE,IN,479,Tippecanoe County
PONTIAC,MI,483,Oakland County
DETROIT,MI,482,Wayne County
FLINT,MI,485,Genesee County
SAGINAW,MI,486,Saginaw County
LANSING,MI,489,Ingham County
KALAMAZOO,MI,490,Kalamazoo County
JACKSON,MI,492,Jackson County
GRAND RAPIDS,MI,495,Kent County
TRAVERSE CITY,MI,496,Grand Traverse County
GAYLORD,MI,497,Otsego County
KINGSFORD,MI,498,Dickinson County
DES MOINES,IA,503,Polk County
FORT DODGE,IA,505,Webster County
WATERLOO,IA,507,Black Hawk County
CRESTON,IA,508,Union County
SIOUX CITY,IA,510,Woodbury County
SIOUX FALLS,SD,571,Minnehaha County
CARROLL,IA,514,Carroll County
DUBUQUE,IA,520,Dubuque County
DECORAH,IA,521,Winneshiek County
CEDAR RAPIDS,IA,524,Linn County
BURLINGTON,IA,526,Des Moines County
MILWAUKEE,WI,532,Milwaukee County
MADISON,WI,537,Dane County
PORTAGE,WI,539,Columbia County
GREEN BAY,WI,543,Brown County
ROTHSCHILD,WI,544,Marathon County
RHINELANDER,WI,545,Oneida County
LA CROSSE,WI,546,La Crosse County
EAU CLAIRE,WI,547,Eau Claire County
SPOONER,WI,548,Washburn County
OSHKOSH,WI,549,Winnebago County
EAGAN,MN,551,Dakota County
MINNEAPOLIS,MN,554,Hennepin County
DULUTH,MN,558,St. Louis County
ROCHESTER,MN,559,Olmsted County
MANKATO,MN,560,Blue Earth County
WILLMAR,MN,562,Kandiyohi County
WAITE PARK,MN,563,Stearns County
BRAINERD,MN,564,Crow Wing County
DETROIT LAKES,MN,565,Becker County
